"BehaviorSpace results (NetLogo 5.0.5)"
"network_model.nlogo"
"ten-techs"
"05/24/2014 20:26:43:268 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","preferredMinusOtherTech","w2","preferencesMinusNetwork","w1","randomizationLevel","ticksCount","randomize","technologiesQuantity","componentsQuantity","[step]","item 0 finalResults","item 1 finalResults","item 2 finalResults","item 3 finalResults","item 4 finalResults","item 5 finalResults","item 6 finalResults","item 7 finalResults","item 8 finalResults","item 9 finalResults"
"13","0.8","0.5","0.8","1","0.3","1200","true","10","65","1200","0.5566666666666666","0.2725","0.09333333333333334","0.041666666666666664","0.013333333333333334","0.008333333333333333","0.0075","0.005","8.333333333333334E-4","8.333333333333334E-4"
"14","0.8","0.5","0.8","1","0.3","1200","true","10","65","1200","0.6108333333333333","0.24333333333333335","0.07916666666666666","0.029166666666666667","0.023333333333333334","0.006666666666666667","0.006666666666666667","8.333333333333334E-4","0","0"
"15","0.8","0.5","0.8","1","0.3","1200","true","10","65","1200","0.6675","0.22916666666666666","0.06833333333333333","0.023333333333333334","0.004166666666666667","0.0016666666666666668","0.0016666666666666668","0.0016666666666666668","0.0016666666666666668","8.333333333333334E-4"
"17","0.8","0.5","0.8","1","0.3","1200","true","10","65","1200","0.67","0.20166666666666666","0.06583333333333333","0.020833333333333332","0.013333333333333334","0.009166666666666667","0.009166666666666667","0.005","0.0033333333333333335","0.0016666666666666668"
"16","0.8","0.5","0.8","1","0.3","1200","true","10","65","1200","0.61","0.23","0.095","0.04","0.015833333333333335","0.0033333333333333335","0.0025","0.0016666666666666668","0.0016666666666666668","0"
"18","0.8","0.5","0.8","1","0.3","1200","true","10","65","1200","0.6391666666666667","0.235","0.08083333333333333","0.025833333333333333","0.006666666666666667","0.0033333333333333335","0.0033333333333333335","0.0025","0.0016666666666666668","0.0016666666666666668"
"19","0.8","0.5","0.8","1","0.3","1200","true","10","90","1200","0.6566666666666666","0.225","0.07916666666666666","0.023333333333333334","0.009166666666666667","0.004166666666666667","0.0016666666666666668","8.333333333333334E-4","0","0"
"20","0.8","0.5","0.8","1","0.3","1200","true","10","90","1200","0.6608333333333334","0.2","0.07833333333333334","0.025","0.016666666666666666","0.008333333333333333","0.005833333333333334","0.0033333333333333335","0.0016666666666666668","0"
"21","0.8","0.5","0.8","1","0.3","1200","true","10","90","1200","0.6475","0.225","0.07916666666666666","0.018333333333333333","0.009166666666666667","0.005833333333333334","0.005","0.004166666666666667","0.0033333333333333335","0.0025"
"22","0.8","0.5","0.8","1","0.3","1200","true","10","90","1200","0.6666666666666666","0.23166666666666666","0.06333333333333334","0.015833333333333335","0.009166666666666667","0.009166666666666667","0.0033333333333333335","8.333333333333334E-4","0","0"
"24","0.8","0.5","0.8","1","0.3","1200","true","10","90","1200","0.6633333333333333","0.215","0.07583333333333334","0.0225","0.01","0.005","0.005","0.0016666666666666668","8.333333333333334E-4","8.333333333333334E-4"
"25","0.8","0.5","0.8","1","0.3","1200","false","10","20","1200","0.97","0.006666666666666667","0.005","0.005","0.004166666666666667","0.0025","0.0025","0.0025","0.0016666666666666668","0"
"23","0.8","0.5","0.8","1","0.3","1200","true","10","90","1200","0.6833333333333333","0.21916666666666668","0.056666666666666664","0.018333333333333333","0.0075","0.006666666666666667","0.0033333333333333335","0.0033333333333333335","0.0016666666666666668","0"
"26","0.8","0.5","0.8","1","0.3","1200","false","10","20","1200","0.9741666666666666","0.005","0.005","0.0033333333333333335","0.0033333333333333335","0.0025","0.0025","0.0025","0.0016666666666666668","0"
"28","0.8","0.5","0.8","1","0.3","1200","false","10","20","1200","0.9866666666666667","0.005","0.004166666666666667","0.0016666666666666668","8.333333333333334E-4","8.333333333333334E-4","8.333333333333334E-4","0","0","0"
"27","0.8","0.5","0.8","1","0.3","1200","false","10","20","1200","0.9833333333333333","0.004166666666666667","0.0033333333333333335","0.0025","0.0025","0.0016666666666666668","0.0016666666666666668","8.333333333333334E-4","0","0"
"29","0.8","0.5","0.8","1","0.3","1200","false","10","20","1200","0.9883333333333333","0.0033333333333333335","0.0025","0.0016666666666666668","0.0016666666666666668","0.0016666666666666668","8.333333333333334E-4","0","0","0"
