"BehaviorSpace results (NetLogo 5.0.5)"
"arthur_model.nlogo"
"ten-techs"
"05/25/2014 20:28:32:726 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-6","6","-6","6"
"[run number]","numTechnologies","isRandom","numDomains","preferencesMinusNetwork","setupCost","ticksCount","preferredMinusOtherTech","[step]","misfits","item 0 adopters","item 1 adopters","item 2 adopters","item 3 adopters","item 4 adopters","item 5 adopters","item 6 adopters","item 7 adopters","item 8 adopters","item 9 adopters"
"193","10","true","10","0.8","0","1000","0.8","1000","879","45","186","3","254","277","117","12","7","1","98"
"194","10","true","10","0.8","0","1000","0.8","1000","909","91","13","138","201","20","319","50","29","48","91"
"195","10","true","10","0.8","0","1000","0.8","1000","902","40","87","24","83","33","48","134","246","145","160"
"196","10","true","10","0.8","0","1000","0.8","1000","906","21","144","198","26","59","237","157","87","60","11"
"197","10","true","10","0.8","0","1000","0.8","1000","892","292","52","176","26","112","145","74","18","57","48"
"198","10","true","10","0.8","0","1000","0.8","1000","874","26","109","426","6","50","104","7","72","57","143"
"199","10","true","10","0.8","0","1000","0.8","1000","894","50","51","174","73","90","237","2","47","273","3"
"200","10","true","10","0.8","0","1000","0.8","1000","892","110","176","2","49","5","47","462","74","38","37"
"201","10","true","25","0.8","0","1000","0.8","1000","894","114","149","180","129","8","26","78","131","121","64"
"203","10","true","25","0.8","0","1000","0.8","1000","876","61","29","87","133","125","42","343","37","109","34"
"202","10","true","25","0.8","0","1000","0.8","1000","886","68","68","103","106","239","27","61","49","61","218"
"204","10","true","25","0.8","0","1000","0.8","1000","863","19","51","110","152","75","349","35","81","25","103"
"205","10","true","25","0.8","0","1000","0.8","1000","878","32","103","86","63","85","92","176","43","217","103"
"206","10","true","25","0.8","0","1000","0.8","1000","873","102","52","266","115","112","80","78","64","51","80"
"207","10","true","25","0.8","0","1000","0.8","1000","883","230","37","85","218","85","11","34","26","31","243"
"209","10","true","25","0.8","0","1000","0.8","1000","881","108","87","43","58","149","114","66","38","205","132"
"208","10","true","25","0.8","0","1000","0.8","1000","876","64","98","108","56","224","8","76","65","214","87"
"210","10","true","25","0.8","0","1000","0.8","1000","886","282","51","108","150","90","105","36","9","91","78"
"211","10","true","25","0.8","0","1000","0.8","1000","883","28","20","20","117","107","38","458","101","27","84"
"212","10","true","25","0.8","0","1000","0.8","1000","869","112","161","81","49","120","252","41","66","45","73"
"213","10","true","25","0.8","0","1000","0.8","1000","875","42","156","89","166","43","14","115","160","29","186"
"214","10","true","25","0.8","0","1000","0.8","1000","894","23","21","137","84","24","182","133","157","120","119"
"215","10","true","25","0.8","0","1000","0.8","1000","898","33","170","231","35","120","80","57","59","108","107"
"216","10","true","25","0.8","0","1000","0.8","1000","881","125","93","119","81","55","176","62","55","69","165"
"217","10","true","25","0.8","0","1000","0.8","1000","887","183","117","205","44","50","21","48","43","160","129"
"218","10","true","25","0.8","0","1000","0.8","1000","894","31","95","242","134","69","150","49","30","88","112"
"219","10","true","25","0.8","0","1000","0.8","1000","889","125","78","96","40","88","119","50","45","144","215"
"220","10","true","25","0.8","0","1000","0.8","1000","884","28","105","84","121","109","129","126","8","17","273"
"221","10","true","50","0.8","0","1000","0.8","1000","890","96","194","99","57","25","157","85","196","18","73"
"222","10","true","50","0.8","0","1000","0.8","1000","880","195","24","105","29","52","170","26","162","102","135"
"223","10","true","50","0.8","0","1000","0.8","1000","890","39","120","133","16","80","92","147","162","90","121"
